tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order
110+06548,10th St/K St,EASTBOUND,9th St,DC,DISTRICT OF COLUMBIA,20001,38.902534000000,-77.031945000000,38.902521000000,-77.026005000000,0.320145,8
110-06548,10th St/K St,WESTBOUND,9th St,DC,DISTRICT OF COLUMBIA,20001,38.902501000000,-77.021898000000,38.902517000000,-77.024008000000,0.175359,5
110+13544,11th St,NORTHBOUND,Pennsylvania Ave,DC,DISTRICT OF COLUMBIA,20003,38.876549000000,-76.991526000000,38.882636000000,-76.991528000000,0.419942,2
110P13544,11th St,NORTHBOUND,Pennsylvania Ave,DC,DISTRICT OF COLUMBIA,20003,38.882636000000,-76.991528000000,38.882877000000,-76.991525000000,0.016654,3
110+13545,11th St,NORTHBOUND,Independence Ave,DC,DISTRICT OF COLUMBIA,20003,38.882877000000,-76.991525000000,38.887568000000,-76.991547000000,0.323687,4
110+13546,11th St,NORTHBOUND,N Carolina Ave SE,DC,DISTRICT OF COLUMBIA,20002,38.887568000000,-76.991547000000,38.889268000000,-76.991518000000,0.117320,5
110+13782,11th St,NORTHBOUND,C St,DC,DISTRICT OF COLUMBIA,20002,38.891986000000,-76.991504000000,38.893565000000,-76.991537000000,0.108994,6
110+13549,11th St,NORTHBOUND,Maryland Ave,DC,DISTRICT OF COLUMBIA,20002,38.893565000000,-76.991537000000,38.896771000000,-76.991520000000,0.221218,7
110+13550,11th St,NORTHBOUND,H St,DC,DISTRICT OF COLUMBIA,20002,38.896861000000,-76.991525000000,38.900207000000,-76.991529000000,0.230788,8
110+13551,11th St,NORTHBOUND,Florida Ave,DC,DISTRICT OF COLUMBIA,20002,38.900207000000,-76.991529000000,38.903317000000,-76.991521000000,0.214569,9
110+06543,11th St,NORTHBOUND,US-29/Rhode Island Ave,DC,DISTRICT OF COLUMBIA,20005,38.903944000000,-77.026974000000,38.910473000000,-77.027048000000,0.451447,638
110+07925,11th St,NORTHBOUND,Massachusetts Ave,DC,DISTRICT OF COLUMBIA,20005,38.902522000000,-77.026984000000,38.903944000000,-77.026974000000,0.098119,640
110-13550,11th St,SOUTHBOUND,H St,DC,DISTRICT OF COLUMBIA,20002,38.903317000000,-76.991521000000,38.900207000000,-76.991529000000,0.214569,1
110-13549,11th St,SOUTHBOUND,Maryland Ave,DC,DISTRICT OF COLUMBIA,20002,38.900207000000,-76.991529000000,38.896861000000,-76.991525000000,0.230788,2
110-13782,11th St,SOUTHBOUND,C St,DC,DISTRICT OF COLUMBIA,20002,38.896771000000,-76.991520000000,38.893565000000,-76.991537000000,0.221218,4
110-13548,11th St,SOUTHBOUND,Constitution Ave,DC,DISTRICT OF COLUMBIA,20002,38.893565000000,-76.991537000000,38.891986000000,-76.991504000000,0.108994,5
110-13547,11th St,SOUTHBOUND,E Capitol St NE,DC,DISTRICT OF COLUMBIA,20002,38.891986000000,-76.991504000000,38.890385000000,-76.991523000000,0.110485,6
110-13546,11th St,SOUTHBOUND,N Carolina Ave SE,DC,DISTRICT OF COLUMBIA,20002,38.890385000000,-76.991523000000,38.889268000000,-76.991518000000,0.077054,7
110-13545,11th St,SOUTHBOUND,Independence Ave,DC,DISTRICT OF COLUMBIA,20003,38.889268000000,-76.991518000000,38.887568000000,-76.991547000000,0.117320,8
110-13544,11th St,SOUTHBOUND,Pennsylvania Ave,DC,DISTRICT OF COLUMBIA,20003,38.887568000000,-76.991547000000,38.882877000000,-76.991525000000,0.323687,9
